SEGMENTID,ONSTREETNAME,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
108502,DOUGLAS ROAD,BEND,BEND,S,2018-01-22 10:54:36,2018-02-20 23:58:59,REPAIR GAS
109192,ROEBLING STREET,METROPOLITAN AVENUE,NORTH    4 STREET,B,2018-08-22 00:00:00,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
109327,ROEBLING STREET,BEND,NORTH    5 STREET,B,2018-08-22 00:00:00,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
109328,ROEBLING STREET,BEND,NORTH    4 STREET,B,2018-08-22 00:00:00,2018-08-28 23:59:59,DOT IN-HOUSE PAVING
106086,WEST   44 STREET,11 AVENUE,AMTRAK RR,M,2018-09-08 00:00:00,2018-09-10 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11154,GRIMSBY STREET,BEDFORD AVENUE,MIDLAND AVENUE,S,2018-02-26 00:00:00,2018-03-01 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11086,BEDFORD AVENUE,GRIMSBY STREET,NUGENT AVENUE,S,2018-02-06 14:36:11,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
101241,223 PLACE,67 AVENUE,224 STREET,Q,2017-10-23 09:55:40,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
106086,WEST   44 STREET,11 AVENUE,AMTRAK RR,M,2018-09-08 00:00:00,2018-09-10 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
11154,GRIMSBY STREET,BEDFORD AVENUE,MIDLAND AVENUE,S,2018-02-06 14:36:11,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11155,GRIMSBY STREET,BEDFORD AVENUE,MAPLETON AVENUE,S,2018-02-06 14:36:10,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11156,MAPLETON AVENUE,FREEBORN STREET,GRIMSBY STREET,S,2018-02-06 14:36:12,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
106086,WEST   44 STREET,11 AVENUE,AMTRAK RR,M,2018-09-08 00:00:00,2018-09-10 23:58:59,PLACE CRANE OR SHOVEL ON STREET
108513,DOUGLAS ROAD,BEND,BEND,S,2018-02-20 00:00:00,2018-03-22 23:58:59,REPAIR GAS
11176,GRIMSBY STREET,HUNTER AVENUE,MAPLETON AVENUE,S,2018-02-06 14:36:09,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
11176,GRIMSBY STREET,HUNTER AVENUE,MAPLETON AVENUE,S,2018-02-06 14:36:09,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
161841,27 STREET,3 AVENUE,4 AVENUE,B,2018-04-03 00:00:00,2018-04-04 23:59:59,DOT IN-HOUSE MILLING
103236,264 STREET,60 AVENUE,60 ROAD,Q,2017-10-23 09:27:54,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
101926,60 AVENUE,246 PLACE,MARATHON PARKWAY,Q,2017-10-18 09:39:08,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
101992,COMMONWEALTH BOULEVARD,76 AVENUE,GRAND CENTRL PARKWAY,Q,2017-10-18 09:39:26,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
106113,WEST   58 STREET,10 AVENUE,11 AVENUE,M,2018-09-14 11:49:40,2018-09-16 23:58:59,FINAL RESTORATION ONLY - PROTECTED
114103,CROMWELL CIRCLE,FAIRVIEW PLACE,FOUR CORNERS ROAD,S,2018-03-19 15:37:46,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
114103,CROMWELL CIRCLE,BEND,FAIRVIEW PLACE,S,2018-03-19 16:03:53,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
100356,94 AVENUE,213 STREET,214 STREET,Q,2018-04-23 00:00:00,2018-05-23 23:59:59,DOT IN-HOUSE MILLING
114104,CROMWELL CIRCLE,FAIRVIEW PLACE,FOUR CORNERS ROAD,S,2018-03-19 15:37:46,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
106113,WEST   58 STREET,10 AVENUE,11 AVENUE,M,2018-09-15 00:00:00,2018-09-16 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
103158,260 STREET,57 AVENUE,DEAD END,Q,2017-10-18 09:39:13,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
103236,264 STREET,60 AVENUE,60 ROAD,Q,2017-10-18 09:39:22,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
108514,DOUGLAS ROAD,BEND,BEND,S,2018-02-20 00:00:00,2018-03-22 23:58:59,REPAIR GAS
132471,BATTERY PARK VIADUCT,JOE DIMAGGIO HIGHWAY,BKLYN BATTERY TUNNEL,M,2018-01-16 18:27:57,2018-02-01 23:58:59,NYCDOT-BRIDGES RECONSTRUCTION
11413,FAIRVIEW PLACE,CROMWELL CIRCLE,TODT HILL ROAD,S,2018-03-19 15:37:47,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
106114,WEST   58 STREET,10 AVENUE,11 AVENUE,M,2018-09-14 11:49:40,2018-09-16 23:58:59,FINAL RESTORATION ONLY - PROTECTED
106114,WEST   58 STREET,10 AVENUE,11 AVENUE,M,2018-09-15 00:00:00,2018-09-16 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
132763,BATTERY PARK VIADUCT,JOE DIMAGGIO HIGHWAY,BKLYN BATTERY TUNNEL,M,2018-01-16 18:27:57,2018-02-01 23:58:59,NYCDOT-BRIDGES RECONSTRUCTION
107590,CLEARVIEW EXPRESSWAY,26 AVENUE,32 AVENUE,Q,2017-10-19 09:41:11,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
118786,WILLOUGHBY AVENUE,BEND,STUYVESANT AVENUE,B,2018-01-10 09:59:36,2018-02-10 23:58:59,PLACE CRANE OR SHOVEL ON STREET
71135,BROADWAY,WEST  181 STREET,WEST  182 STREET,M,2018-08-06 00:00:00,2018-08-17 23:59:59,DOT IN-HOUSE PAVING
115226,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
105554,DOUGLAS ROAD,BEND,SILVER BEECH ROAD,S,2018-02-02 00:00:00,2018-03-04 23:58:59,REPAIR GAS
105555,DOUGLAS ROAD,BEND,SILVER BEECH ROAD,S,2018-02-02 00:00:00,2018-03-04 23:58:59,REPAIR GAS
115226,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
109245,COVERLY AVENUE,BEND,BEND,S,2018-03-30 00:00:00,2018-04-29 23:58:59,REPAIR GAS - PROTECTED
115226,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
102028,COMMONWEALTH BOULEVARD,247 STREET,MARATHON PARKWAY,Q,2017-10-23 09:27:55,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
115229,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
101926,60 AVENUE,246 PLACE,MARATHON PARKWAY,Q,2017-10-23 09:27:40,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
115229,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
118493,MOUNTAINSIDE ROAD,BEND,BEND,S,2018-09-22 00:00:00,2018-10-20 23:58:59,REPAIR GAS
115229,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
115230,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
161422,BATTERY PARK VIADUCT,SOUTH STREET,BKLYN BATTERY TUNNEL,M,2018-01-16 18:27:56,2018-02-01 23:58:59,NYCDOT-BRIDGES RECONSTRUCTION
115230,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
110822,GOWER STREET,BEND,QUEEN STREET,S,2017-10-27 08:21:36,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
109246,COVERLY AVENUE,BEND,OCEAN TERRACE,S,2018-03-30 00:00:00,2018-04-29 23:58:59,REPAIR GAS - PROTECTED
115230,COOPER SQUARE,EAST    6 STREET,EAST    7 STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
109250,COVERLY AVENUE,BEND,OCEAN TERRACE,S,2018-03-30 00:00:00,2018-04-29 23:58:59,REPAIR GAS - PROTECTED
11531,CROMWELL CIRCLE,FAIRVIEW PLACE,FOUR CORNERS ROAD,S,2018-03-19 15:37:46,2018-06-17 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION WATER
103156,262 STREET,60 ROAD,61 AVENUE,Q,2017-10-23 09:27:53,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
117660,60 AVENUE,264 STREET,HEWLETT STREET,Q,2017-10-18 09:39:17,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
117661,60 AVENUE,264 STREET,HEWLETT STREET,Q,2017-10-18 09:39:17,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
112292,COVERLY AVENUE,BEND,OCEAN TERRACE,S,2018-03-30 00:00:00,2018-04-29 23:58:59,REPAIR GAS - PROTECTED
112293,COVERLY AVENUE,BEND,OCEAN TERRACE,S,2018-03-30 00:00:00,2018-04-29 23:58:59,REPAIR GAS - PROTECTED
164730,WEST   49 STREET,11 AVENUE,12 AVENUE,M,2018-01-15 11:55:48,2018-01-29 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
164731,WEST   49 STREET,11 AVENUE,12 AVENUE,M,2018-01-15 11:55:47,2018-01-29 23:58:59,PLACE CRANE OR SHOVEL ON STREET
164731,WEST   49 STREET,11 AVENUE,12 AVENUE,M,2018-01-15 11:55:48,2018-01-29 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
164934,MANGIN STREET,EAST HOUSTON STREET,STANTON STREET,M,2018-01-27 00:00:00,2018-01-29 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
164935,MANGIN STREET,EAST HOUSTON STREET,STANTON STREET,M,2018-01-27 00:00:00,2018-01-29 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
165907,WEST   87 STREET,BROADWAY,WEST END AVENUE,M,2018-01-06 00:00:00,2018-01-29 23:58:59,PLACE CRANE OR SHOVEL ON STREET
165908,WEST   87 STREET,BROADWAY,WEST END AVENUE,M,2018-01-06 00:00:00,2018-01-29 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
165908,WEST   87 STREET,BROADWAY,WEST END AVENUE,M,2018-01-06 00:00:00,2018-01-29 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
120685,SHORE PARKWAY,BELT PARKWAY WB EN E   13 ST,HOMECREST AVENUE,B,2018-07-30 00:00:00,2018-08-07 23:59:59,DOT IN-HOUSE PAVING
128009,EAST   41 STREET,AVENUE L,KINGS HIGHWAY,B,2018-12-13 00:00:00,2018-12-17 23:59:59,DOT IN-HOUSE PAVING
130977,JUNO STREET,68 AVENUE,69 AVENUE,Q,2018-06-02 00:00:00,2018-06-04 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
130977,JUNO STREET,68 AVENUE,69 AVENUE,Q,2018-06-02 00:00:00,2018-06-04 23:58:59,PLACE CRANE OR SHOVEL ON STREET
130978,JUNO STREET,68 AVENUE,69 AVENUE,Q,2018-06-02 00:00:00,2018-06-04 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
130978,JUNO STREET,68 AVENUE,69 AVENUE,Q,2018-06-02 00:00:00,2018-06-04 23:58:59,PLACE CRANE OR SHOVEL ON STREET
130979,JUNO STREET,68 AVENUE,69 AVENUE,Q,2018-06-02 00:00:00,2018-06-04 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
118199,RENSSELAER AVENUE,MARCY AVENUE,VERNON AVENUE,S,2018-09-05 11:27:58,2018-11-15 23:58:59,CONTRACT ROADWAY MILLING
11130,COLONY AVENUE,GREELEY AVENUE,LINCOLN AVENUE,S,2018-09-07 00:00:00,2018-09-10 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
113746,FITCHETT STREET,66 AVENUE,BEND,Q,2018-06-12 08:38:05,2018-07-13 23:59:59,DOT IN-HOUSE PAVING
12458,CARY AVENUE,ELIZABETH STREET,ROE STREET,S,2018-08-02 07:44:52,2018-08-31 23:59:59,DOT IN-HOUSE PAVING
132674,EAST    6 STREET,COOPER SQUARE,COOPER SQUARE,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
132674,EAST    6 STREET,COOPER SQUARE,COOPER SQUARE,M,2018-02-10 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
11130,COLONY AVENUE,GREELEY AVENUE,LINCOLN AVENUE,S,2018-09-07 00:00:00,2018-09-10 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
11130,COLONY AVENUE,GREELEY AVENUE,LINCOLN AVENUE,S,2018-09-07 00:00:00,2018-09-10 23:58:59,PLACE CRANE OR SHOVEL ON STREET
127625,44 ROAD,21 STREET,23 STREET,Q,2018-03-10 00:00:00,2018-03-19 23:58:59,PLACE CRANE OR SHOVEL ON STREET
110875,ANN STREET,BROADWAY,THEATRE ALLEY,M,2018-03-27 09:18:15,2018-05-22 23:58:59,MAJOR INSTALLATION - GAS
110875,ANN STREET,BROADWAY,THEATRE ALLEY,M,2018-05-07 10:13:51,2018-05-22 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
110876,ANN STREET,BROADWAY,THEATRE ALLEY,M,2018-03-27 09:18:15,2018-05-22 23:58:59,MAJOR INSTALLATION - GAS
106280,SHORE PARKWAY,BROWN STREET,HARING STREET,B,2018-04-09 00:00:00,2018-04-17 23:59:59,DOT IN-HOUSE MILLING
106280,SHORE PARKWAY,BROWN STREET,HARING STREET,B,2018-04-09 00:00:00,2018-04-17 23:59:59,DOT IN-HOUSE PAVING
106281,SHORE PARKWAY,BROWN STREET,HARING STREET,B,2018-04-09 00:00:00,2018-04-17 23:59:59,DOT IN-HOUSE MILLING
120557,MELBA STREET,DEAD END,HAROLD STREET,S,2017-10-19 14:49:05,2018-01-01 23:58:59,D.D.C. CONTRACTOR MAJOR RECONSTRUCTION
106281,SHORE PARKWAY,BROWN STREET,HARING STREET,B,2018-04-09 00:00:00,2018-04-17 23:59:59,DOT IN-HOUSE PAVING
163687,PACIFIC STREET,4 AVENUE,FLATBUSH AVENUE,B,2018-02-03 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
110876,ANN STREET,BROADWAY,THEATRE ALLEY,M,2018-05-07 10:13:51,2018-05-22 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
163688,PACIFIC STREET,4 AVENUE,FLATBUSH AVENUE,B,2018-02-03 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
115086,DOUGHTY STREET,BEND,ELIZABETH PLACE,B,2018-06-20 13:01:28,2018-07-06 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
160201,RICHMOND TERRACE,BAYONNE BRIDGE,BAYONNE BRIDGE,S,2017-11-02 00:00:00,2018-01-31 23:58:59,CROSSING SIDEWALK
137895,PARK ROW,BEEKMAN STREET,BEND,M,2018-03-14 10:06:40,2018-06-04 23:58:59,CONTRACT ROADWAY MILLING
164230,GREENE STREET,PRINCE STREET,WEST HOUSTON STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
164230,GREENE STREET,PRINCE STREET,WEST HOUSTON STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
112265,REDMOND AVENUE,CARRIAGE COURT,BENEDICT ROAD,S,2018-09-09 00:00:00,2018-09-23 23:58:59,CONDUIT CONSTRUCTION AND FRANCHISE-PROT
114821,COVERLY AVENUE,BEND,BEND,S,2018-03-30 00:00:00,2018-04-29 23:58:59,REPAIR GAS - PROTECTED
164231,GREENE STREET,PRINCE STREET,WEST HOUSTON STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
164231,GREENE STREET,PRINCE STREET,WEST HOUSTON STREET,M,2018-02-10 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
113625,KOSSUTH AVENUE,BEND,EAST MOSHOLU PARKWAY NORTH,X,2018-11-24 00:00:00,2018-12-03 23:58:59,PLACE CRANE OR SHOVEL ON STREET
160201,RICHMOND TERRACE,BAYONNE BRIDGE,BAYONNE BRIDGE,S,2017-11-02 00:00:00,2018-01-31 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
113988,ST RAYMOND'S AVENUE,BEND,CASTLE HILL AVENUE,X,2018-03-30 13:22:55,2018-05-30 23:59:59,DOT IN-HOUSE MILLING
113989,ST RAYMOND'S AVENUE,BEND,GLOVER STREET,X,2018-03-30 13:22:57,2018-05-30 23:59:59,DOT IN-HOUSE MILLING
11859,COVERLY AVENUE,BEND,BEND,S,2018-03-30 00:00:00,2018-04-29 23:58:59,REPAIR GAS - PROTECTED
20808,56 STREET,8 AVENUE,9 AVENUE,B,2018-02-01 00:00:00,2018-03-01 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
109694,ROSSVILLE AVENUE,BALSAM PLACE,LOCUST COURT,S,2018-04-16 00:00:00,2018-05-01 23:58:59,CONTRACT ROADWAY MILLING
109970,STADIUM AVENUE,BEND,FAIRMOUNT AVENUE,X,2018-04-30 00:00:00,2018-05-31 23:58:59,CONTRACT ROADWAY MILLING
172622,38 STREET,43 AVENUE,NYCTA SUBWAY,Q,2017-10-24 10:37:23,2018-01-01 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
110875,ANN STREET,BROADWAY,THEATRE ALLEY,M,2018-04-28 00:00:00,2018-05-07 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
110876,ANN STREET,BROADWAY,THEATRE ALLEY,M,2018-04-28 00:00:00,2018-05-07 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
117662,60 ROAD,264 STREET,HEWLETT STREET,Q,2017-10-23 09:27:51,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
117663,60 ROAD,264 STREET,HEWLETT STREET,Q,2017-10-23 09:27:51,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
223829,50 STREET,39 AVENUE,SKILLMAN AVENUE,Q,2017-12-10 00:00:00,2018-01-04 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
22827,STATE STREET,BOND STREET,NEVINS STREET,B,2018-03-03 00:00:00,2018-03-11 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
22827,STATE STREET,BOND STREET,NEVINS STREET,B,2018-03-03 00:00:00,2018-03-11 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
22828,BOND STREET,SCHERMERHORN STREET,STATE STREET,B,2018-01-24 08:59:08,2018-02-01 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
22828,BOND STREET,SCHERMERHORN STREET,STATE STREET,B,2018-01-24 08:59:09,2018-02-01 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
116308,BORDEN AVENUE,34 STREET,35 STREET,Q,2018-07-15 00:00:00,2018-08-15 23:59:59,DOT IN-HOUSE PAVING
110917,THOMPSON STREET,BEND,GRAND STREET,M,2018-05-09 00:00:00,2018-05-18 23:59:59,DOT IN-HOUSE PAVING
237001,WEST   29 STREET,HIGH LINE,11 AVENUE,M,2018-01-18 10:44:38,2018-01-29 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
119626,248 STREET,54 AVENUE,DEAD END,Q,2017-10-20 10:00:29,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
181139,214 STREET,58 AVENUE,HORACE HARDING EXPRESSWAY,Q,2017-10-23 08:23:02,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
237001,WEST   29 STREET,HIGH LINE,11 AVENUE,M,2018-01-18 10:44:38,2018-01-29 23:58:59,PLACE CRANE OR SHOVEL ON STREET
174997,REEDER STREET,51 AVENUE,QUEENS BOULEVARD,Q,2017-11-06 09:47:22,2018-01-01 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
164645,WEST   36 STREET,10 AVENUE,DYER AVENUE,M,2018-02-10 00:00:00,2018-02-19 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
127930,EAST   35 STREET,AVENUE I,DEAD END,B,2018-11-14 00:00:00,2018-11-19 23:59:59,DOT IN-HOUSE PAVING
176256,EAST  182 STREET,CRESTON AVENUE,GRAND CONCOURSE,X,2017-10-10 14:58:56,2018-01-07 23:59:59,DOT IN-HOUSE PAVING
127931,EAST   35 STREET,AVENUE I,DEAD END,B,2018-11-14 00:00:00,2018-11-19 23:59:59,DOT IN-HOUSE PAVING
113989,ST RAYMOND'S AVENUE,BEND,GLOVER STREET,X,2018-04-26 14:49:00,2018-07-24 23:59:59,DOT IN-HOUSE PAVING
111664,ROSSVILLE AVENUE,AARON LANE,POPLAR AVENUE,S,2018-04-16 00:00:00,2018-05-01 23:58:59,CONTRACT ROADWAY MILLING
111665,ROSSVILLE AVENUE,AARON LANE,VETERANS ROAD EAST,S,2018-04-16 00:00:00,2018-05-01 23:58:59,CONTRACT ROADWAY MILLING
165494,EAST   63 STREET,MADISON AVENUE,PARK AVENUE,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
165494,EAST   63 STREET,MADISON AVENUE,PARK AVENUE,M,2018-02-10 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF SIDEWALK AS STIPULATED
240618,BATTERY PARK VIADUCT,JOE DIMAGGIO HIGHWAY,BKLYN BATTERY TUNNEL,M,2018-01-16 18:27:57,2018-02-01 23:58:59,NYCDOT-BRIDGES RECONSTRUCTION
240619,BATTERY PARK VIADUCT,JOE DIMAGGIO HIGHWAY,BKLYN BATTERY TUNNEL,M,2018-01-16 18:27:57,2018-02-01 23:58:59,NYCDOT-BRIDGES RECONSTRUCTION
24186,LIVINGSTON STREET,GALLATIN PLACE,HOYT STREET,B,2018-01-20 00:00:00,2018-01-29 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
24186,LIVINGSTON STREET,GALLATIN PLACE,HOYT STREET,B,2018-01-29 00:00:00,2018-01-30 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
24186,LIVINGSTON STREET,GALLATIN PLACE,HOYT STREET,B,2018-01-29 00:00:00,2018-01-30 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
24186,LIVINGSTON STREET,GALLATIN PLACE,HOYT STREET,B,2018-01-29 00:00:00,2018-01-30 23:58:59,PLACE MATERIAL ON STREET
165495,EAST   63 STREET,MADISON AVENUE,PARK AVENUE,M,2018-02-10 00:00:00,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
294500,WEST   36 STREET,10 AVENUE,DYER AVENUE,M,2018-02-10 00:00:00,2018-02-19 23:58:59,PLACE CRANE OR SHOVEL ON STREET
23623,AMITY STREET,HENRY STREET,HICKS STREET,B,2018-02-10 00:00:00,2018-03-11 23:58:59,PLACE CRANE OR SHOVEL ON STREET
112375,TILLMAN STREET,DEAD END,VALLEYVIEW PLACE,S,2018-03-29 09:21:29,2018-04-30 23:59:59,DOT IN-HOUSE PAVING
181131,213 STREET,56 AVENUE,58 AVENUE,Q,2017-10-23 08:22:59,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
115867,GOTHIC DRIVE,168 STREET,BEND,Q,2018-06-25 00:00:00,2018-07-25 23:59:59,DOT IN-HOUSE PAVING
166444,WEST  134 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-02-03 00:00:00,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
172672,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:32:06,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
172672,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:48,2018-02-12 23:58:59,PLACE MATERIAL ON STREET
172672,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:48,2018-02-12 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION
172672,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:49,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
181351,CLEARVIEW EXPRESSWAY,32 AVENUE,CLEARVIEW EXPWY SB ET    6 A,Q,2017-10-19 09:54:47,2018-01-01 23:58:59,CONTRACT ROADWAY MILLING
172672,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:49,2018-02-12 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
132746,EAST KINGSBRIDGE ROAD,BEND,BEND,X,2017-10-20 14:17:02,2018-01-17 23:59:59,DOT IN-HOUSE PAVING
257193,RICHMOND TERRACE,BAYONNE BRIDGE,BAYONNE BRIDGE,S,2017-11-02 00:00:00,2018-01-31 23:58:59,CROSSING SIDEWALK
172672,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:50,2018-02-12 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
172673,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:32:06,2018-02-12 23:58:59,PLACE CRANE OR SHOVEL ON STREET
174995,REEDER STREET,51 AVENUE,QUEENS BOULEVARD,Q,2017-11-06 09:47:22,2018-01-01 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
172673,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:48,2018-02-12 23:58:59,PLACE MATERIAL ON STREET
24319,JOHN STREET,JAY STREET,PEARL STREET,B,2018-01-16 00:00:00,2018-01-18 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
172673,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:48,2018-02-12 23:58:59,RAPID TRANSIT CONSTRUCT/ ALTERATION
172673,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:49,2018-02-12 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
172673,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:49,2018-02-12 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
258232,BATTERY PARK VIADUCT,SOUTH STREET,BKLYN BATTERY TUNNEL,M,2018-01-16 18:27:56,2018-02-01 23:58:59,NYCDOT-BRIDGES RECONSTRUCTION
172673,53 STREET,NYCTA SUBWAY,QUEENS BOULEVARD,Q,2018-02-08 17:40:50,2018-02-12 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
