SEGMENTID,ONSTREETNAME,FROMSTREETNAME,TOSTREETNAME,BOROUGH_CODE,WORK_START_DATE,WORK_END_DATE,PURPOSE
47362,VAN SINDEREN AVENUE,NEW LOTS AVENUE,NEWPORT STREET,B,2018-05-02 00:00:00,2018-06-16 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
47362,VAN SINDEREN AVENUE,NEW LOTS AVENUE,NEWPORT STREET,B,2018-05-02 00:00:00,2018-06-16 23:58:59,PLACE CRANE OR SHOVEL ON STREET
3265,POILLON AVENUE,ALLEGRO STREET,AMBOY ROAD,S,2018-04-19 00:00:00,2018-05-28 23:59:59,DOT IN-HOUSE MILLING
3265,POILLON AVENUE,ALLEGRO STREET,AMBOY ROAD,S,2018-04-19 00:00:00,2018-05-28 23:59:59,DOT IN-HOUSE PAVING
47362,VAN SINDEREN AVENUE,NEW LOTS AVENUE,NEWPORT STREET,B,2018-05-11 00:00:00,2018-06-16 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
47362,VAN SINDEREN AVENUE,NEW LOTS AVENUE,NEWPORT STREET,B,2018-05-11 00:00:00,2018-06-16 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
3626,LAREDO AVENUE,POMPEY AVENUE,WAINWRIGHT AVENUE,S,2018-05-10 08:16:17,2018-08-08 23:58:59,CONTRACT ROADWAY MILLING
262246,LEONARD STREET,HUDSON STREET,WEST BROADWAY,M,2018-06-12 00:00:00,2018-09-10 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
262246,LEONARD STREET,HUDSON STREET,WEST BROADWAY,M,2018-06-12 00:00:00,2018-09-10 23:58:59,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV
166642,WEST  148 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-11-30 00:00:00,2018-12-04 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
166642,WEST  148 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-11-30 00:00:00,2018-12-04 23:58:59,PLACE CRANE OR SHOVEL ON STREET
114468,166 STREET,BEND,BEND,Q,2018-10-29 00:00:00,2018-12-14 23:59:59,DOT IN-HOUSE PAVING
15969,VIRGINIA AVENUE,ANDERSON STREET,TILSON PLACE,S,2018-06-26 12:04:00,2018-09-24 23:58:59,CONTRACT ROADWAY MILLING
48884,68 ROAD,60 LANE,60 STREET,Q,2018-05-17 00:00:00,2018-06-30 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
48888,69 AVENUE,60 LANE,60 STREET,Q,2018-04-16 00:00:00,2018-06-30 23:58:59,DDC CONTRACTOR MAJOR RECONSTRUCTION-PROT
48889,60 LANE,68 ROAD,CATALPA AVENUE,Q,2018-05-17 00:00:00,2018-06-30 23:58:59,DEP CONTRACTOR MAJOR INSTALLATION SEWER
79898,EAST  184 STREET,TIEBOUT AVENUE,VALENTINE AVENUE,X,2018-07-10 00:00:00,2018-07-14 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
56409,COOLIDGE AVENUE,135 STREET,138 STREET,Q,2018-06-25 00:00:00,2018-07-25 23:59:59,DOT IN-HOUSE PAVING
56410,135 STREET,82 AVENUE,HOOVER AVENUE,Q,2018-06-25 00:00:00,2018-07-25 23:59:59,DOT IN-HOUSE MILLING
56410,135 STREET,82 AVENUE,HOOVER AVENUE,Q,2018-06-25 00:00:00,2018-07-25 23:59:59,DOT IN-HOUSE PAVING
9003965,WEST  140 STREET,7 AVENUE,LENOX AVENUE,M,2018-12-12 09:03:06,2019-01-01 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
113863,ALSTYNE AVENUE,102 STREET,102 STREET,Q,2018-08-20 14:28:19,2018-09-21 23:59:59,DOT IN-HOUSE PAVING
676,BOSCOMBE AVENUE,WSE NB ENTRANCE BOSCOMBE AVE,TYRELLAN AVENUE,S,2018-09-14 12:33:13,2018-12-12 23:58:59,CONTRACT ROADWAY MILLING-PROTECTED
26297,AVENUE S,EAST   22 STREET,EAST   23 STREET,B,2018-08-23 00:00:00,2018-08-29 23:59:59,DOT IN-HOUSE PAVING
26299,AVENUE S,EAST   23 STREET,EAST   24 STREET,B,2018-08-23 00:00:00,2018-08-29 23:59:59,DOT IN-HOUSE PAVING
26301,AVENUE S,BEDFORD AVENUE,EAST   24 STREET,B,2018-08-23 00:00:00,2018-08-29 23:59:59,DOT IN-HOUSE PAVING
26303,AVENUE S,BEDFORD AVENUE,EAST   26 STREET,B,2018-08-23 00:00:00,2018-08-29 23:59:59,DOT IN-HOUSE PAVING
37483,5 AVENUE,EAST   82 STREET,EAST   83 STREET,M,2018-07-25 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE PAVING
37485,5 AVENUE,EAST   83 STREET,EAST   84 STREET,M,2018-07-25 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE PAVING
37487,5 AVENUE,EAST   84 STREET,EAST   85 STREET,M,2018-07-25 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE PAVING
37567,5 AVENUE,EAST   85 STREET,EAST   86 STREET,M,2018-07-25 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE PAVING
166643,WEST  148 STREET,AMSTERDAM AVENUE,BROADWAY,M,2018-11-30 00:00:00,2018-12-04 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
37686,5 AVENUE,EAST   93 STREET,EAST   94 STREET,M,2018-07-25 00:00:00,2018-08-03 23:59:59,DOT IN-HOUSE PAVING
45099,MADISON STREET,CENTRAL AVENUE,EVERGREEN AVENUE,B,2018-10-08 00:00:00,2018-10-10 23:58:59,OCCUPANCY OF ROADWAY AS STIPULATED
45099,MADISON STREET,CENTRAL AVENUE,EVERGREEN AVENUE,B,2018-10-08 00:00:00,2018-10-10 23:58:59,PLACE CRANE OR SHOVEL ON STREET
120584,NARROWS ROAD SOUTH,HYLAN BOULEVARD,HYLAN BOULEVARD,S,2018-08-30 09:17:54,2018-09-28 23:59:59,DOT IN-HOUSE PAVING
116945,FRANCIS LEWIS BOULEVARD,22 AVENUE,23 AVENUE,Q,2018-10-29 00:00:00,2018-12-14 23:59:59,DOT IN-HOUSE PAVING
117291,166 STREET,17 ROAD,BEND,Q,2018-10-29 00:00:00,2018-12-14 23:59:59,DOT IN-HOUSE PAVING
11427,WILLOW POND ROAD,BUTTONWOOD ROAD,TODT HILL ROAD,S,2018-08-29 08:22:29,2018-10-26 23:58:59,MAJOR INSTALLATION - GAS
159750,ROCKLAND AVENUE,ORBIT LANE,RICHMOND AVENUE,S,2018-09-10 00:00:00,2018-12-09 23:58:59,CONTRACT ROADWAY MILLING
