,SEGMENTID,ONSTREETNAME,WORK_START_DATE,WORK_END_DATE,BOROUGH_CODE
12990,192338,woodside avenue,2018-08-20 14:48:13,2018-09-21 23:59:59,Q
12991,80626,east 203 street,2018-03-22 10:59:11,2018-05-10 23:58:59,X
12992,120580,emerson drive,2018-07-19 11:57:00,2018-08-17 23:58:59,S
12993,120676,3 place,2018-07-31 00:00:00,2018-08-03 23:59:59,B
12994,54701,110 street,2018-08-01 00:00:00,2018-08-31 23:59:59,Q
12995,67220,30 street,2018-07-02 00:00:00,2018-09-01 23:58:59,Q
12996,173065,7 avenue,2018-09-12 16:05:54,2018-10-12 23:59:59,M
12997,38348,west 114 street,2018-08-18 00:00:00,2018-08-27 23:58:59,M
12998,38348,west 114 street,2018-08-18 00:00:00,2018-08-27 23:58:59,M
12999,120473,shore parkway,2018-08-01 00:00:00,2018-08-10 23:59:59,B
13000,115018,sea gate road,2018-07-19 13:25:50,2018-08-17 23:58:59,S
13001,192339,woodside avenue,2018-08-20 14:48:13,2018-09-21 23:59:59,Q
13002,67572,23 street,2018-07-26 00:00:00,2018-08-24 23:58:59,Q
13003,285874,tapscott street,2018-05-30 00:00:00,2018-06-01 23:59:59,B
13004,192340,woodside avenue,2018-08-20 14:48:15,2018-09-21 23:59:59,Q
13005,44285,myrtle avenue,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13006,44291,broadway,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13007,44291,broadway,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13008,29223,sterling place,2018-06-05 00:00:00,2018-06-11 23:59:59,B
13009,292591,carpenter avenue,2018-03-14 11:38:25,2018-06-12 23:58:59,X
13010,44291,broadway,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13011,29313,sterling place,2018-06-05 00:00:00,2018-06-11 23:59:59,B
13012,44291,broadway,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13013,192341,woodside avenue,2018-08-20 14:48:15,2018-09-21 23:59:59,Q
13014,19423,78 street,2018-09-13 00:00:00,2018-09-21 23:59:59,B
13015,194342,shore parkway,2018-09-17 00:00:00,2018-09-21 23:59:59,B
13016,194343,shore parkway,2018-09-17 00:00:00,2018-09-21 23:59:59,B
13017,194344,shore parkway,2018-09-17 00:00:00,2018-09-21 23:59:59,B
13018,194346,shore parkway,2018-09-17 00:00:00,2018-09-21 23:59:59,B
13019,194400,shore parkway,2018-09-17 00:00:00,2018-09-21 23:59:59,B
13020,19497,15 avenue,2018-09-14 00:00:00,2018-09-21 23:59:59,B
13021,44399,broadway,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13022,30466,south 2 street,2018-05-31 12:36:59,2018-06-02 23:58:59,B
13023,30466,south 2 street,2018-05-31 12:37:00,2018-06-02 23:58:59,B
13024,44399,broadway,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13025,44399,broadway,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13026,44399,broadway,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13027,44400,myrtle avenue,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13028,44400,myrtle avenue,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13029,44400,myrtle avenue,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13030,44400,myrtle avenue,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13031,44401,jefferson street,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13032,44401,jefferson street,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13033,44401,jefferson street,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13034,44401,jefferson street,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13035,44401,jefferson street,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13036,44406,troutman street,2018-08-17 00:00:00,2018-08-20 23:58:59,B
13037,44406,troutman street,2018-08-17 00:00:00,2018-08-20 23:58:59,B
