,SEGMENTID,ONSTREETNAME,WORK_START_DATE,WORK_END_DATE,BOROUGH_CODE
0,108502,douglas road,2018-01-22 10:54:36,2018-02-20 23:58:59,S
1,109192,roebling street,2018-08-22 00:00:00,2018-08-28 23:59:59,B
2,109327,roebling street,2018-08-22 00:00:00,2018-08-28 23:59:59,B
3,109328,roebling street,2018-08-22 00:00:00,2018-08-28 23:59:59,B
4,106086,west 44 street,2018-09-08 00:00:00,2018-09-10 23:58:59,M
5,11154,grimsby street,2018-02-26 00:00:00,2018-03-01 23:58:59,S
6,11086,bedford avenue,2018-02-06 14:36:11,2018-02-12 23:58:59,S
7,101241,223 place,2017-10-23 09:55:40,2018-01-01 23:58:59,Q
8,106086,west 44 street,2018-09-08 00:00:00,2018-09-10 23:58:59,M
9,11154,grimsby street,2018-02-06 14:36:11,2018-02-12 23:58:59,S
10,11155,grimsby street,2018-02-06 14:36:10,2018-02-12 23:58:59,S
11,11156,mapleton avenue,2018-02-06 14:36:12,2018-02-12 23:58:59,S
12,106086,west 44 street,2018-09-08 00:00:00,2018-09-10 23:58:59,M
13,108513,douglas road,2018-02-20 00:00:00,2018-03-22 23:58:59,S
14,11176,grimsby street,2018-02-06 14:36:09,2018-02-12 23:58:59,S
15,11176,grimsby street,2018-02-06 14:36:09,2018-02-12 23:58:59,S
16,161841,27 street,2018-04-03 00:00:00,2018-04-04 23:59:59,B
17,103236,264 street,2017-10-23 09:27:54,2018-01-01 23:58:59,Q
18,101926,60 avenue,2017-10-18 09:39:08,2018-01-01 23:58:59,Q
19,101992,commonwealth boulevard,2017-10-18 09:39:26,2018-01-01 23:58:59,Q
20,106113,west 58 street,2018-09-14 11:49:40,2018-09-16 23:58:59,M
21,114103,cromwell circle,2018-03-19 15:37:46,2018-06-17 23:58:59,S
22,114103,cromwell circle,2018-03-19 16:03:53,2018-06-17 23:58:59,S
23,100356,94 avenue,2018-04-23 00:00:00,2018-05-23 23:59:59,Q
24,114104,cromwell circle,2018-03-19 15:37:46,2018-06-17 23:58:59,S
25,106113,west 58 street,2018-09-15 00:00:00,2018-09-16 23:58:59,M
26,103158,260 street,2017-10-18 09:39:13,2018-01-01 23:58:59,Q
27,103236,264 street,2017-10-18 09:39:22,2018-01-01 23:58:59,Q
28,108514,douglas road,2018-02-20 00:00:00,2018-03-22 23:58:59,S
29,132471,battery park viaduct,2018-01-16 18:27:57,2018-02-01 23:58:59,M
30,11413,fairview place,2018-03-19 15:37:47,2018-06-17 23:58:59,S
31,106114,west 58 street,2018-09-14 11:49:40,2018-09-16 23:58:59,M
32,106114,west 58 street,2018-09-15 00:00:00,2018-09-16 23:58:59,M
33,132763,battery park viaduct,2018-01-16 18:27:57,2018-02-01 23:58:59,M
34,107590,clearview expressway,2017-10-19 09:41:11,2018-01-01 23:58:59,Q
35,118786,willoughby avenue,2018-01-10 09:59:36,2018-02-10 23:58:59,B
36,71135,broadway,2018-08-06 00:00:00,2018-08-17 23:59:59,M
37,115226,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
38,105554,douglas road,2018-02-02 00:00:00,2018-03-04 23:58:59,S
39,105555,douglas road,2018-02-02 00:00:00,2018-03-04 23:58:59,S
40,115226,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
41,109245,coverly avenue,2018-03-30 00:00:00,2018-04-29 23:58:59,S
42,115226,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
43,102028,commonwealth boulevard,2017-10-23 09:27:55,2018-01-01 23:58:59,Q
44,115229,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
45,101926,60 avenue,2017-10-23 09:27:40,2018-01-01 23:58:59,Q
46,115229,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
47,118493,mountainside road,2018-09-22 00:00:00,2018-10-20 23:58:59,S
48,115229,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
49,115230,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
50,161422,battery park viaduct,2018-01-16 18:27:56,2018-02-01 23:58:59,M
51,115230,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
52,110822,gower street,2017-10-27 08:21:36,2018-01-01 23:58:59,S
53,109246,coverly avenue,2018-03-30 00:00:00,2018-04-29 23:58:59,S
54,115230,cooper square,2018-02-10 00:00:00,2018-02-12 23:58:59,M
55,109250,coverly avenue,2018-03-30 00:00:00,2018-04-29 23:58:59,S
56,11531,cromwell circle,2018-03-19 15:37:46,2018-06-17 23:58:59,S
57,103156,262 street,2017-10-23 09:27:53,2018-01-01 23:58:59,Q
58,117660,60 avenue,2017-10-18 09:39:17,2018-01-01 23:58:59,Q
59,117661,60 avenue,2017-10-18 09:39:17,2018-01-01 23:58:59,Q
60,112292,coverly avenue,2018-03-30 00:00:00,2018-04-29 23:58:59,S
61,112293,coverly avenue,2018-03-30 00:00:00,2018-04-29 23:58:59,S
62,164730,west 49 street,2018-01-15 11:55:48,2018-01-29 23:58:59,M
63,164731,west 49 street,2018-01-15 11:55:47,2018-01-29 23:58:59,M
64,164731,west 49 street,2018-01-15 11:55:48,2018-01-29 23:58:59,M
65,164934,mangin street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
66,164935,mangin street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
67,165907,west 87 street,2018-01-06 00:00:00,2018-01-29 23:58:59,M
68,165908,west 87 street,2018-01-06 00:00:00,2018-01-29 23:58:59,M
69,165908,west 87 street,2018-01-06 00:00:00,2018-01-29 23:58:59,M
70,120685,shore parkway,2018-07-30 00:00:00,2018-08-07 23:59:59,B
71,128009,east 41 street,2018-12-13 00:00:00,2018-12-17 23:59:59,B
72,130977,juno street,2018-06-02 00:00:00,2018-06-04 23:58:59,Q
73,130977,juno street,2018-06-02 00:00:00,2018-06-04 23:58:59,Q
74,130978,juno street,2018-06-02 00:00:00,2018-06-04 23:58:59,Q
75,130978,juno street,2018-06-02 00:00:00,2018-06-04 23:58:59,Q
76,130979,juno street,2018-06-02 00:00:00,2018-06-04 23:58:59,Q
77,118199,rensselaer avenue,2018-09-05 11:27:58,2018-11-15 23:58:59,S
78,11130,colony avenue,2018-09-07 00:00:00,2018-09-10 23:58:59,S
79,113746,fitchett street,2018-06-12 08:38:05,2018-07-13 23:59:59,Q
80,12458,cary avenue,2018-08-02 07:44:52,2018-08-31 23:59:59,S
81,132674,east 6 street,2018-02-10 00:00:00,2018-02-12 23:58:59,M
82,132674,east 6 street,2018-02-10 00:00:00,2018-02-12 23:58:59,M
83,11130,colony avenue,2018-09-07 00:00:00,2018-09-10 23:58:59,S
84,11130,colony avenue,2018-09-07 00:00:00,2018-09-10 23:58:59,S
85,127625,44 road,2018-03-10 00:00:00,2018-03-19 23:58:59,Q
86,110875,ann street,2018-03-27 09:18:15,2018-05-22 23:58:59,M
87,110875,ann street,2018-05-07 10:13:51,2018-05-22 23:58:59,M
88,110876,ann street,2018-03-27 09:18:15,2018-05-22 23:58:59,M
89,106280,shore parkway,2018-04-09 00:00:00,2018-04-17 23:59:59,B
90,106280,shore parkway,2018-04-09 00:00:00,2018-04-17 23:59:59,B
91,106281,shore parkway,2018-04-09 00:00:00,2018-04-17 23:59:59,B
92,120557,melba street,2017-10-19 14:49:05,2018-01-01 23:58:59,S
93,106281,shore parkway,2018-04-09 00:00:00,2018-04-17 23:59:59,B
94,163687,pacific street,2018-02-03 00:00:00,2018-02-12 23:58:59,B
95,110876,ann street,2018-05-07 10:13:51,2018-05-22 23:58:59,M
96,163688,pacific street,2018-02-03 00:00:00,2018-02-12 23:58:59,B
97,115086,doughty street,2018-06-20 13:01:28,2018-07-06 23:58:59,B
98,160201,richmond terrace,2017-11-02 00:00:00,2018-01-31 23:58:59,S
99,137895,park row,2018-03-14 10:06:40,2018-06-04 23:58:59,M
100,164230,greene street,2018-02-10 00:00:00,2018-02-12 23:58:59,M
101,164230,greene street,2018-02-10 00:00:00,2018-02-12 23:58:59,M
102,112265,redmond avenue,2018-09-09 00:00:00,2018-09-23 23:58:59,S
103,114821,coverly avenue,2018-03-30 00:00:00,2018-04-29 23:58:59,S
104,164231,greene street,2018-02-10 00:00:00,2018-02-12 23:58:59,M
105,164231,greene street,2018-02-10 00:00:00,2018-02-12 23:58:59,M
106,113625,kossuth avenue,2018-11-24 00:00:00,2018-12-03 23:58:59,X
107,160201,richmond terrace,2017-11-02 00:00:00,2018-01-31 23:58:59,S
108,113988,st raymond's avenue,2018-03-30 13:22:55,2018-05-30 23:59:59,X
109,113989,st raymond's avenue,2018-03-30 13:22:57,2018-05-30 23:59:59,X
110,11859,coverly avenue,2018-03-30 00:00:00,2018-04-29 23:58:59,S
111,20808,56 street,2018-02-01 00:00:00,2018-03-01 23:58:59,B
112,109694,rossville avenue,2018-04-16 00:00:00,2018-05-01 23:58:59,S
113,109970,stadium avenue,2018-04-30 00:00:00,2018-05-31 23:58:59,X
114,172622,38 street,2017-10-24 10:37:23,2018-01-01 23:58:59,Q
115,110875,ann street,2018-04-28 00:00:00,2018-05-07 23:58:59,M
116,110876,ann street,2018-04-28 00:00:00,2018-05-07 23:58:59,M
117,117662,60 road,2017-10-23 09:27:51,2018-01-01 23:58:59,Q
118,117663,60 road,2017-10-23 09:27:51,2018-01-01 23:58:59,Q
119,223829,50 street,2017-12-10 00:00:00,2018-01-04 23:58:59,Q
120,22827,state street,2018-03-03 00:00:00,2018-03-11 23:58:59,B
121,22827,state street,2018-03-03 00:00:00,2018-03-11 23:58:59,B
122,22828,bond street,2018-01-24 08:59:08,2018-02-01 23:58:59,B
123,22828,bond street,2018-01-24 08:59:09,2018-02-01 23:58:59,B
124,116308,borden avenue,2018-07-15 00:00:00,2018-08-15 23:59:59,Q
125,110917,thompson street,2018-05-09 00:00:00,2018-05-18 23:59:59,M
126,237001,west 29 street,2018-01-18 10:44:38,2018-01-29 23:58:59,M
127,119626,248 street,2017-10-20 10:00:29,2018-01-01 23:58:59,Q
128,181139,214 street,2017-10-23 08:23:02,2018-01-01 23:58:59,Q
129,237001,west 29 street,2018-01-18 10:44:38,2018-01-29 23:58:59,M
130,174997,reeder street,2017-11-06 09:47:22,2018-01-01 23:58:59,Q
131,164645,west 36 street,2018-02-10 00:00:00,2018-02-19 23:58:59,M
132,127930,east 35 street,2018-11-14 00:00:00,2018-11-19 23:59:59,B
133,176256,east 182 street,2017-10-10 14:58:56,2018-01-07 23:59:59,X
134,127931,east 35 street,2018-11-14 00:00:00,2018-11-19 23:59:59,B
135,113989,st raymond's avenue,2018-04-26 14:49:00,2018-07-24 23:59:59,X
136,111664,rossville avenue,2018-04-16 00:00:00,2018-05-01 23:58:59,S
137,111665,rossville avenue,2018-04-16 00:00:00,2018-05-01 23:58:59,S
138,165494,east 63 street,2018-02-10 00:00:00,2018-02-12 23:58:59,M
139,165494,east 63 street,2018-02-10 00:00:00,2018-02-12 23:58:59,M
140,240618,battery park viaduct,2018-01-16 18:27:57,2018-02-01 23:58:59,M
141,240619,battery park viaduct,2018-01-16 18:27:57,2018-02-01 23:58:59,M
142,24186,livingston street,2018-01-20 00:00:00,2018-01-29 23:58:59,B
143,24186,livingston street,2018-01-29 00:00:00,2018-01-30 23:58:59,B
144,24186,livingston street,2018-01-29 00:00:00,2018-01-30 23:58:59,B
145,24186,livingston street,2018-01-29 00:00:00,2018-01-30 23:58:59,B
146,165495,east 63 street,2018-02-10 00:00:00,2018-02-12 23:58:59,M
147,294500,west 36 street,2018-02-10 00:00:00,2018-02-19 23:58:59,M
148,23623,amity street,2018-02-10 00:00:00,2018-03-11 23:58:59,B
149,112375,tillman street,2018-03-29 09:21:29,2018-04-30 23:59:59,S
150,181131,213 street,2017-10-23 08:22:59,2018-01-01 23:58:59,Q
151,115867,gothic drive,2018-06-25 00:00:00,2018-07-25 23:59:59,Q
152,166444,west 134 street,2018-02-03 00:00:00,2018-02-12 23:58:59,M
153,172672,53 street,2018-02-08 17:32:06,2018-02-12 23:58:59,Q
154,172672,53 street,2018-02-08 17:40:48,2018-02-12 23:58:59,Q
155,172672,53 street,2018-02-08 17:40:48,2018-02-12 23:58:59,Q
156,172672,53 street,2018-02-08 17:40:49,2018-02-12 23:58:59,Q
157,181351,clearview expressway,2017-10-19 09:54:47,2018-01-01 23:58:59,Q
158,172672,53 street,2018-02-08 17:40:49,2018-02-12 23:58:59,Q
159,132746,east kingsbridge road,2017-10-20 14:17:02,2018-01-17 23:59:59,X
160,257193,richmond terrace,2017-11-02 00:00:00,2018-01-31 23:58:59,S
161,172672,53 street,2018-02-08 17:40:50,2018-02-12 23:58:59,Q
162,172673,53 street,2018-02-08 17:32:06,2018-02-12 23:58:59,Q
163,174995,reeder street,2017-11-06 09:47:22,2018-01-01 23:58:59,Q
164,172673,53 street,2018-02-08 17:40:48,2018-02-12 23:58:59,Q
165,24319,john street,2018-01-16 00:00:00,2018-01-18 23:58:59,B
166,172673,53 street,2018-02-08 17:40:48,2018-02-12 23:58:59,Q
167,172673,53 street,2018-02-08 17:40:49,2018-02-12 23:58:59,Q
168,172673,53 street,2018-02-08 17:40:49,2018-02-12 23:58:59,Q
169,258232,battery park viaduct,2018-01-16 18:27:56,2018-02-01 23:58:59,M
170,172673,53 street,2018-02-08 17:40:50,2018-02-12 23:58:59,Q
171,172674,53 street,2018-02-08 17:32:06,2018-02-12 23:58:59,Q
172,172674,53 street,2018-02-08 17:40:48,2018-02-12 23:58:59,Q
173,172674,53 street,2018-02-08 17:40:48,2018-02-12 23:58:59,Q
174,172674,53 street,2018-02-08 17:40:49,2018-02-12 23:58:59,Q
175,172674,53 street,2018-02-08 17:40:49,2018-02-12 23:58:59,Q
176,172674,53 street,2018-02-08 17:40:50,2018-02-12 23:58:59,Q
177,172683,54 street,2018-02-08 17:32:07,2018-02-12 23:58:59,Q
178,172683,54 street,2018-02-08 17:40:50,2018-02-12 23:58:59,Q
179,172683,54 street,2018-02-08 17:40:51,2018-02-12 23:58:59,Q
180,172683,54 street,2018-02-08 17:40:51,2018-02-12 23:58:59,Q
181,172683,54 street,2018-02-08 17:40:52,2018-02-12 23:58:59,Q
182,172684,54 street,2018-02-08 17:32:07,2018-02-12 23:58:59,Q
183,172684,54 street,2018-02-08 17:40:50,2018-02-12 23:58:59,Q
184,24201,pearl street,2017-11-17 00:00:00,2018-01-01 23:58:59,B
185,24201,pearl street,2017-11-17 00:00:00,2018-01-01 23:58:59,B
186,172684,54 street,2018-02-08 17:40:50,2018-02-12 23:58:59,Q
187,172684,54 street,2018-02-08 17:40:51,2018-02-12 23:58:59,Q
188,172684,54 street,2018-02-08 17:40:51,2018-02-12 23:58:59,Q
189,296147,spring street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
190,172684,54 street,2018-02-08 17:40:52,2018-02-12 23:58:59,Q
191,172685,54 street,2018-02-08 17:32:07,2018-02-12 23:58:59,Q
192,172685,54 street,2018-02-08 17:40:50,2018-02-12 23:58:59,Q
193,172685,54 street,2018-02-08 17:40:50,2018-02-12 23:58:59,Q
194,172685,54 street,2018-02-08 17:40:51,2018-02-12 23:58:59,Q
195,172685,54 street,2018-02-08 17:40:51,2018-02-12 23:58:59,Q
196,172685,54 street,2018-02-08 17:40:52,2018-02-12 23:58:59,Q
197,222271,221 street,2017-10-26 11:13:26,2018-01-01 23:58:59,Q
198,172686,55 street,2018-02-08 17:32:08,2018-02-12 23:58:59,Q
199,130635,89 street,2018-09-05 14:59:33,2018-10-15 23:59:59,Q
200,172686,55 street,2018-02-08 17:32:09,2018-02-12 23:58:59,Q
201,172686,55 street,2018-02-08 17:40:54,2018-02-12 23:58:59,Q
202,172686,55 street,2018-02-08 17:40:54,2018-02-12 23:58:59,Q
203,172686,55 street,2018-02-08 17:40:55,2018-02-12 23:58:59,Q
204,172686,55 street,2018-02-08 17:40:55,2018-02-12 23:58:59,Q
205,172687,55 street,2018-02-08 17:32:08,2018-02-12 23:58:59,Q
206,172687,55 street,2018-02-08 17:32:09,2018-02-12 23:58:59,Q
207,22523,2 street,2017-10-19 14:41:46,2018-01-01 23:58:59,B
208,172687,55 street,2018-02-08 17:40:54,2018-02-12 23:58:59,Q
209,172687,55 street,2018-02-08 17:40:54,2018-02-12 23:58:59,Q
210,172687,55 street,2018-02-08 17:40:55,2018-02-12 23:58:59,Q
211,172687,55 street,2018-02-08 17:40:55,2018-02-12 23:58:59,Q
212,172688,55 street,2018-02-08 17:32:08,2018-02-12 23:58:59,Q
213,172688,55 street,2018-02-08 17:32:09,2018-02-12 23:58:59,Q
214,172688,55 street,2018-02-08 17:40:54,2018-02-12 23:58:59,Q
215,71138,broadway,2018-08-06 00:00:00,2018-08-17 23:59:59,M
216,31349,leonard street,2018-01-05 00:00:00,2018-02-05 23:58:59,B
217,172688,55 street,2018-02-08 17:40:54,2018-02-12 23:58:59,Q
218,172688,55 street,2018-02-08 17:40:55,2018-02-12 23:58:59,Q
219,172688,55 street,2018-02-08 17:40:55,2018-02-12 23:58:59,Q
220,172689,55 street,2018-02-08 17:32:08,2018-02-12 23:58:59,Q
221,172622,38 street,2017-10-24 10:37:22,2018-01-01 23:58:59,Q
222,31349,leonard street,2018-01-05 00:00:00,2018-02-05 23:58:59,B
223,31353,broadway,2018-01-05 00:00:00,2018-02-05 23:58:59,B
224,181138,214 street,2017-10-19 09:41:10,2018-01-01 23:58:59,Q
225,172689,55 street,2018-02-08 17:32:09,2018-02-12 23:58:59,Q
226,172689,55 street,2018-02-08 17:40:54,2018-02-12 23:58:59,Q
227,172689,55 street,2018-02-08 17:40:54,2018-02-12 23:58:59,Q
228,172689,55 street,2018-02-08 17:40:55,2018-02-12 23:58:59,Q
229,172689,55 street,2018-02-08 17:40:55,2018-02-12 23:58:59,Q
230,130635,89 street,2018-09-05 14:59:34,2018-10-15 23:59:59,Q
231,130649,89 street,2018-09-05 14:59:35,2018-10-15 23:59:59,Q
232,112905,waltham street,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
233,111576,andrews avenue,2018-04-14 00:00:00,2018-04-23 23:58:59,X
234,31912,spring street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
235,31912,spring street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
236,31934,leroy street,2018-01-23 14:39:19,2018-01-29 23:58:59,M
237,31934,leroy street,2018-01-23 14:39:19,2018-01-29 23:58:59,M
238,31934,leroy street,2018-01-23 14:39:20,2018-01-29 23:58:59,M
239,111576,andrews avenue,2018-04-14 00:00:00,2018-04-23 23:58:59,X
240,111576,andrews avenue,2018-04-14 00:00:00,2018-04-23 23:58:59,X
241,112906,waltham street,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
242,112906,waltham street,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
243,130650,89 street,2018-09-05 14:59:35,2018-10-15 23:59:59,Q
244,11324,tillman street,2018-03-29 09:21:26,2018-04-30 23:59:59,S
245,113274,51 avenue,2018-05-01 00:00:00,2018-06-01 23:59:59,Q
246,11326,norwalk avenue,2018-03-29 09:22:58,2018-04-30 23:59:59,S
247,114114,duncan road,2018-05-08 00:00:00,2018-06-07 23:58:59,S
248,32362,crosby street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
249,32362,crosby street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
250,32362,crosby street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
251,176264,east 182 street,2017-10-10 14:58:57,2018-01-07 23:59:59,X
252,238754,west 155 street,2017-10-31 00:00:00,2018-01-01 23:58:59,M
253,176310,east kingsbridge road,2017-10-20 14:17:02,2018-01-17 23:59:59,X
254,176311,east kingsbridge road,2017-10-20 14:17:02,2018-01-17 23:59:59,X
255,165638,east 70 street,2018-03-24 00:00:00,2018-03-26 23:58:59,M
256,176320,east kingsbridge road,2017-10-20 14:17:00,2018-01-17 23:59:59,X
257,176321,east kingsbridge road,2017-10-20 14:17:00,2018-01-17 23:59:59,X
258,176322,east kingsbridge road,2017-10-20 14:17:00,2018-01-17 23:59:59,X
259,225311,west 134 street,2018-02-03 00:00:00,2018-02-12 23:58:59,M
260,225311,west 134 street,2018-02-03 00:00:00,2018-02-12 23:58:59,M
261,225311,west 134 street,2018-02-03 00:00:00,2018-02-12 23:58:59,M
262,32596,washington place,2018-01-01 00:00:00,2018-02-02 23:58:59,M
263,126819,78 street,2018-08-17 00:00:00,2018-08-23 23:59:59,B
264,34042,west 37 street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
265,34042,west 37 street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
266,34042,west 37 street,2018-01-27 00:00:00,2018-01-29 23:58:59,M
267,34118,west 58 street,2018-01-20 00:00:00,2018-01-29 23:58:59,M
268,34118,west 58 street,2018-01-20 00:00:00,2018-01-29 23:58:59,M
269,34118,west 58 street,2018-01-20 00:00:00,2018-01-29 23:58:59,M
270,127053,west 13 street,2018-04-02 00:00:00,2018-04-06 23:59:59,B
271,127054,west 13 street,2018-03-28 00:00:00,2018-04-06 23:59:59,B
272,23079,greenwich street,2018-02-10 00:00:00,2018-02-19 23:58:59,M
273,23079,greenwich street,2018-02-10 00:00:00,2018-02-19 23:58:59,M
274,127054,west 13 street,2018-04-02 00:00:00,2018-04-06 23:59:59,B
275,181137,214 street,2017-10-23 08:23:01,2018-01-01 23:58:59,Q
276,13486,forest avenue,2018-09-10 00:00:00,2018-11-15 23:58:59,S
277,23319,pearl street,2018-02-02 00:00:00,2018-02-12 23:58:59,M
278,23319,pearl street,2018-02-02 00:00:00,2018-02-12 23:58:59,M
279,115825,165 street,2018-06-25 00:00:00,2018-07-25 23:59:59,Q
280,115826,165 street,2018-06-25 00:00:00,2018-07-25 23:59:59,Q
281,35554,51 avenue,2018-01-06 00:00:00,2018-01-15 23:58:59,Q
282,137895,park row,2018-04-02 00:00:00,2018-04-06 23:59:59,M
283,116133,182 place,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
284,116133,182 place,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
285,37858,east 82 street,2018-01-20 00:00:00,2018-01-29 23:58:59,M
286,37860,east 83 street,2018-01-22 11:25:30,2018-01-29 23:58:59,M
287,37860,east 83 street,2018-01-22 11:25:31,2018-01-29 23:58:59,M
288,37860,east 83 street,2018-01-22 11:25:31,2018-01-29 23:58:59,M
289,116137,182 street,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
290,116138,182 street,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
291,181134,213 street,2017-10-23 08:23:00,2018-01-01 23:58:59,Q
292,266710,56 street,2018-02-08 17:41:01,2018-02-12 23:58:59,Q
293,116139,183 street,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
294,181136,214 street,2017-10-23 08:23:01,2018-01-01 23:58:59,Q
295,8172,suffolk avenue,2017-10-19 14:49:59,2018-01-01 23:58:59,S
296,116140,183 street,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
297,181138,214 street,2017-10-23 08:23:02,2018-01-01 23:58:59,Q
298,116141,183 street,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
299,185358,richmond terrace,2017-11-02 00:00:00,2018-01-31 23:58:59,S
300,185358,richmond terrace,2017-11-02 00:00:00,2018-01-31 23:58:59,S
301,116142,183 street,2018-03-19 00:00:00,2018-04-30 23:59:59,Q
302,115664,95 street,2018-05-07 10:23:02,2018-06-08 23:59:59,Q
303,120963,east 162 street,2018-06-20 13:30:51,2018-07-02 23:58:59,X
304,13216,douglas road,2018-05-17 13:30:35,2018-06-16 23:58:59,S
305,115665,95 street,2018-05-07 10:23:02,2018-06-08 23:59:59,Q
306,185358,richmond terrace,2017-11-02 00:00:00,2018-01-31 23:58:59,S
307,47386,williams avenue,2018-01-05 15:47:32,2018-02-02 23:58:59,B
308,13271,douglas road,2018-03-22 09:31:17,2018-04-20 23:58:59,S
309,271228,west 15 street,2018-01-29 00:00:00,2018-02-12 23:58:59,M
310,120963,east 162 street,2018-06-20 13:30:52,2018-07-02 23:58:59,X
311,137294,park row,2018-04-02 00:00:00,2018-04-06 23:59:59,M
312,120963,east 162 street,2018-06-20 13:30:53,2018-07-02 23:58:59,X
313,126666,clinton avenue,2018-04-30 00:00:00,2018-05-30 23:59:59,S
314,122099,fulton street,2018-05-15 00:00:00,2018-05-21 23:59:59,B
315,276247,west 33 street,2018-01-03 09:07:44,2018-03-11 23:58:59,M
316,184728,east kingsbridge road,2017-10-20 14:17:03,2018-01-17 23:59:59,X
317,184729,east kingsbridge road,2017-10-20 14:17:03,2018-01-17 23:59:59,X
318,276248,west 33 street,2018-01-03 09:07:45,2018-03-11 23:58:59,M
319,127209,56 street,2018-11-05 00:00:00,2018-11-09 23:59:59,B
320,127210,56 street,2018-11-05 00:00:00,2018-11-09 23:59:59,B
321,127211,56 street,2018-11-05 00:00:00,2018-11-09 23:59:59,B
322,120963,east 162 street,2018-04-13 00:00:00,2018-05-01 23:58:59,X
323,79755,west 184 street,2017-10-20 14:04:25,2018-01-17 23:59:59,X
324,128451,east 96 street,2018-10-31 00:00:00,2018-11-09 23:59:59,B
325,12607,melhorn road,2018-04-04 13:11:18,2018-04-30 23:59:59,S
326,296146,broome street,2018-02-03 00:00:00,2018-02-12 23:58:59,M
327,80135,east 187 street,2017-10-20 14:19:54,2018-01-17 23:59:59,X
328,128452,east 96 street,2018-10-31 00:00:00,2018-11-09 23:59:59,B
329,151863,park row,2018-04-02 00:00:00,2018-04-06 23:59:59,M
330,118966,beach 59 street,2018-04-23 00:00:00,2018-05-23 23:59:59,Q
331,120963,east 162 street,2018-09-11 00:00:00,2018-10-13 23:58:59,X
332,184552,innis street,2017-12-29 00:00:00,2018-03-29 23:58:59,S
333,152259,park row,2018-04-02 00:00:00,2018-04-06 23:59:59,M
334,23194,thames street,2017-10-31 12:49:15,2018-01-26 23:58:59,M
335,128453,east 96 street,2018-10-31 00:00:00,2018-11-09 23:59:59,B
336,128655,east 88 street,2018-11-05 00:00:00,2018-11-09 23:59:59,B
337,33805,west 28 street,2018-03-10 00:00:00,2018-03-12 23:58:59,M
338,161405,53 street,2018-03-30 00:00:00,2018-04-03 23:59:59,B
339,23817,state street,2017-11-09 00:00:00,2018-02-07 23:58:59,B
340,23821,state street,2017-11-09 00:00:00,2018-02-07 23:58:59,B
341,128724,flatlands 3 street,2018-11-08 00:00:00,2018-11-09 23:59:59,B
342,195415,suffolk avenue,2017-10-19 15:10:42,2018-01-01 23:58:59,S
343,159836,south avenue,2018-09-07 08:05:19,2018-11-15 23:58:59,S
344,159837,south avenue,2018-09-07 08:05:19,2018-11-15 23:58:59,S
345,159838,south avenue,2018-09-07 08:05:19,2018-11-15 23:58:59,S
346,159858,south avenue,2018-09-10 00:00:00,2018-11-15 23:58:59,S
347,126993,16 avenue,2018-04-12 00:00:00,2018-04-17 23:59:59,B
348,31768,duane street,2018-02-03 00:00:00,2018-02-12 23:58:59,M
349,162410,park row,2018-04-02 00:00:00,2018-04-06 23:59:59,M
350,126994,16 avenue,2018-04-12 00:00:00,2018-04-17 23:59:59,B
351,226336,dunton court,2018-03-20 00:00:00,2018-03-23 23:58:59,Q
352,126997,16 avenue,2018-04-12 00:00:00,2018-04-17 23:59:59,B
353,225057,jefferson avenue,2017-10-19 14:43:39,2018-01-01 23:58:59,B
354,22515,hoyt street,2017-10-19 15:18:01,2018-01-01 23:58:59,B
355,162441,columbia street,2018-09-27 00:00:00,2018-10-01 23:59:59,B
356,238758,west 155 street,2017-10-31 00:00:00,2018-01-01 23:58:59,M
357,78493,east 170 street,2017-11-17 08:19:58,2018-02-14 23:59:59,X
358,162442,columbia street,2018-09-27 00:00:00,2018-10-01 23:59:59,B
359,162274,st marks place,2018-03-01 00:00:00,2018-03-31 23:58:59,B
360,31908,vandam street,2018-02-10 00:00:00,2018-02-19 23:58:59,M
